,word,pos,countentries,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14
22,grieve,vt,7,cause mental pain/suffering to,sadden/grieve,harass,make angry,excite to indignation/resentment,lament/express grief for,regret,NA,NA,NA,NA,NA,NA,NA,1225,1225,1225,1300,1300,1598,1598,NA,NA,NA,NA,NA,NA,NA
23,heavy,aj,7,sorrowful/afflicted with grief,causing sorrow/grief,angry,of time,of things,pompous,intense/intensive,NA,NA,NA,NA,NA,NA,NA,1300,1374,1452,1595,1601,1849,1952,NA,NA,NA,NA,NA,NA,NA
24,high,aj,7,characterized by/showing,proud,zealously enthusiastic,high-spirited,elated,merry,enthusiastic (about/for),NA,NA,NA,NA,NA,NA,NA,1205,1205,1662,1662,1695,1695,1933,NA,NA,NA,NA,NA,NA,NA
25,jest,n,7,deed of valour,jest/pleasantry,a jest/joke,lack of seriousness,instance of,one who/that which is comical,a joking matter,NA,NA,NA,NA,NA,NA,NA,1300,1551,1551,1551,1578,1593,1732,NA,NA,NA,NA,NA,NA,NA
26,joy,n,7,joy/gladness/delight,supreme/heavenly happiness,an instance/source of joy/delight,rejoicing/exultation,quality of causing joy/delight,specific a person,terms of endearment,NA,NA,NA,NA,NA,NA,NA,1225,1275,1275,1300,1400,1590,1590,NA,NA,NA,NA,NA,NA,NA
27,melancholy,aj,7,melancholy,expressive of melancholy,irascible (of person),ill-humoured,pensive,suggestive of/favourable to pensiveness,causing sorrow/grief,NA,NA,NA,NA,NA,NA,NA,1475,1475,1575,1575,1600,1641,1710,NA,NA,NA,NA,NA,NA,NA
28,melancholy,n,7,irascibility,melancholy,depressing thing/person/circumstances,cause of annoyance/vexation,state of,melancholy fit/mood,pensiveness,NA,NA,NA,NA,NA,NA,NA,1350,1374,1474,1474,1585,1585,1614,NA,NA,NA,NA,NA,NA,NA
29,pathetic,aj,7,affecting the emotions,characterized by passion,pertaining to the emotions,pertaining to manifestation of emotion,indicating emotion,affecting tender emotions,exciting pity,NA,NA,NA,NA,NA,NA,NA,1598,1648,1649,1649,1649,1737,1737,NA,NA,NA,NA,NA,NA,NA
30,proud,aj,7,at some fact/achievement,proud of/taking pride in,bold in battle,spirited (of animals),causing/affording pride,proceeding from/indicating pride,having proper pride/self-respect,NA,NA,NA,NA,NA,NA,NA,1250,1250,1275,1300,1340,1390,1738,NA,NA,NA,NA,NA,NA,NA
31,rage,n,7,furious anger,instance/fit of furious anger,jest/pleasantry,fit of violent sorrow,violent emotion,of poets and prophets,spirit,NA,NA,NA,NA,NA,NA,NA,1297,1297,1320,1386,1390,1563,1590,NA,NA,NA,NA,NA,NA,NA
32,sick,aj,7,languishing for/with love,envious,full of detestation/loathing/disgust,weary of person/thing,disgusted,other qualities of jests/humour,enjoying unpleasant humour,NA,NA,NA,NA,NA,NA,NA,1388,1390,1590,1597,1853,1959,1959,NA,NA,NA,NA,NA,NA,NA
33,sympathetic,aj,7,sympathetic,characterized by sympathy,specifically of persons,feeling sympathy,according with one's own feelings,eliciting sympathy,pleasant,NA,NA,NA,NA,NA,NA,NA,1684,1684,1718,1718,1789,1900,1900,NA,NA,NA,NA,NA,NA,NA
34,uneasy,aj,7,causing,unpleasant,upset/perturbed,uneasy,uneasy,displeased,hostile,NA,NA,NA,NA,NA,NA,NA,1483,1483,1513,1680,1680,1715,1725,NA,NA,NA,NA,NA,NA,NA
35,affect,vt,6,affect with emotion,specifically for a person,have affection for,specifically for fashion/clothes,have liking for,make ostentatious use of,NA,NA,NA,NA,NA,NA,NA,NA,1548,1549,1549,1550,1582,1598,NA,NA,NA,NA,NA,NA,NA,NA
36,affective,aj,6,zealously enthusiastic,pertaining to the emotions,existing only in feeling,affecting the emotions,affectionate,in psychology,NA,NA,NA,NA,NA,NA,NA,NA,1549,1623,1633,1638,1656,1876,NA,NA,NA,NA,NA,NA,NA,NA
37,angry,aj,6,annoying/vexatious,annoyed/vexed,angry,irascible (of person),looking angry,characterized by anger,NA,NA,NA,NA,NA,NA,NA,NA,1360,1375,1386,1387,1393,1509,NA,NA,NA,NA,NA,NA,NA,NA
38,apprehension,n,6,representation to oneself of what is in future,emotional perception,action of feeling,sensitiveness/tenderness,sympathetic perception,apprehension,NA,NA,NA,NA,NA,NA,NA,NA,1603,1605,1605,1605,1605,1648,NA,NA,NA,NA,NA,NA,NA,NA
39,comfortably,av,6,in a cheering manner,in a state of enjoyment,contentedly,in manner giving consolation/relief,calmly,in self-satisfied manner,NA,NA,NA,NA,NA,NA,NA,NA,1494,1563,1563,1599,1872,1872,NA,NA,NA,NA,NA,NA,NA,NA
40,comfortless,aj,6,dismayed,cowardly,spiritless,dejected,gloomy/depressing,gloomy/depressing,NA,NA,NA,NA,NA,NA,NA,NA,1387,1387,1387,1460,1460,1576,NA,NA,NA,NA,NA,NA,NA,NA
41,complacence,n,6,self-satisfaction,complacency,pleasure,contentment/satisfaction,source of pleasure,source of satisfaction,NA,NA,NA,NA,NA,NA,NA,NA,1430,1430,1436,1436,1667,1667,NA,NA,NA,NA,NA,NA,NA,NA
42,cool,aj,6,gloomy/depressing,dejected,self-possessed/self-controlled,cold/lacking warm feeling,shameless,calm,NA,NA,NA,NA,NA,NA,NA,NA,1297,1400,1440,1641,1723,1948,NA,NA,NA,NA,NA,NA,NA,NA
43,crabbed,aj,6,unpleasant,characterized by ill nature,ill-natured,irritated,sour/bitter,expressing ill nature,NA,NA,NA,NA,NA,NA,NA,NA,1340,1362,1400,1530,1599,1603,NA,NA,NA,NA,NA,NA,NA,NA
44,dark,aj,6,dejected,melancholy,saturnine,ill-humoured,of the appearance/face,frowning/scowling,NA,NA,NA,NA,NA,NA,NA,NA,1596,1596,1596,1596,1599,1599,NA,NA,NA,NA,NA,NA,NA,NA
45,familiar,aj,6,intimate/familiar,friendly,affable,(of behaviour) unconstrained/free/easy,well acquainted/familiar with,sociable,NA,NA,NA,NA,NA,NA,NA,NA,1340,1385,1385,1386,1508,1604,NA,NA,NA,NA,NA,NA,NA,NA
46,feud,n,6,active hatred,hostility,state of bitter and lasting mutual hostility,used in contradistinction to favour,quarrel/falling out,deadly feud,NA,NA,NA,NA,NA,NA,NA,NA,1300,1300,1425,1530,1565,1582,NA,NA,NA,NA,NA,NA,NA,NA
47,fire,n,6,a burning feeling of passion,heat of anger,(of love) a flame/burning passion,ardour/fervour,spirit,source of,NA,NA,NA,NA,NA,NA,NA,NA,1340,1340,1340,1579,1579,1596,NA,NA,NA,NA,NA,NA,NA,NA
48,gratify,vt,6,express pleasure at/greet with pleasure,please/give pleasure to,content/satisfy,make pleasant,thank,by indulgence,NA,NA,NA,NA,NA,NA,NA,NA,1548,1568,1568,1577,1599,1662,NA,NA,NA,NA,NA,NA,NA,NA
49,hearty,aj,6,courageous,cheerful,hearty,sincere,intense,zealously enthusiastic,NA,NA,NA,NA,NA,NA,NA,NA,1380,1440,1440,1460,1550,1704,NA,NA,NA,NA,NA,NA,NA,NA
50,huff,vt,6,scare away by calling huff,force/intimidate by,intimidate/bully,drive out by blustering,drive to/force by bullying,excite to indignation/resentment,NA,NA,NA,NA,NA,NA,NA,NA,1621,1674,1674,1681,1681,1793,NA,NA,NA,NA,NA,NA,NA,NA
51,huffy,aj,6,swollen/inflated with pride,blustering,irascible (of person),peevish,arrogant,touchy,NA,NA,NA,NA,NA,NA,NA,NA,1677,1677,1680,1680,1680,1693,NA,NA,NA,NA,NA,NA,NA,NA
52,jealous,aj,6,of lover,angry,jealous,ardently amorous/covetous of another's love,apprehensive,zealously enthusiastic,NA,NA,NA,NA,NA,NA,NA,NA,1250,1382,1385,1430,1532,1535,NA,NA,NA,NA,NA,NA,NA,NA
53,love < (ge)lufian,vt,6,take pleasure in/enjoy,love,be strongly attached to (a thing),bear love to (a person/personal object),like very much,be in love/infatuated with,NA,NA,NA,NA,NA,NA,NA,NA,650,650,650,650,650,650,NA,NA,NA,NA,NA,NA,NA,NA
54,lover,n,6,one who loves/a lover,friend,one who loves,one who loves god,one who likes/favours,terms of endearment,NA,NA,NA,NA,NA,NA,NA,NA,1225,1250,1300,1300,1340,1911,NA,NA,NA,NA,NA,NA,NA,NA
55,merry,aj,6,specifically of a place/country,expressing cheerfulness (of looks),merry,joyful/delighted,comical,humorous/jesting,NA,NA,NA,NA,NA,NA,NA,NA,1205,1225,1320,1380,1470,1607,NA,NA,NA,NA,NA,NA,NA,NA
56,moan,n,6,lamentation/expression of grief,instance/act of lamenting,state/condition of,condition/quality of lamenting,moaning/groaning,a complaint,NA,NA,NA,NA,NA,NA,NA,NA,1225,1225,1500,1500,1599,1911,NA,NA,NA,NA,NA,NA,NA,NA
57,pride,n,6,arrogance,proper pride/self-respect,love of,cause/matter of pride,pride in something,spirit in a horse,NA,NA,NA,NA,NA,NA,NA,NA,1205,1297,1324,1382,1582,1592,NA,NA,NA,NA,NA,NA,NA,NA
58,rave,n,6,violent emotion,fit of violent emotion,extreme,cause of,infatuation,one who/that which excites infatuation,NA,NA,NA,NA,NA,NA,NA,NA,1765,1765,1902,1902,1902,1902,NA,NA,NA,NA,NA,NA,NA,NA
59,secure,aj,6,free from trouble/care/sorrow,excessively self-confident,over-confident/presumptuous,untroubled,free from trouble/care/sorrow,specifically of circumstances/events/emotions,NA,NA,NA,NA,NA,NA,NA,NA,1533,1558,1558,1600,1602,1602,NA,NA,NA,NA,NA,NA,NA,NA
60,sensible,aj,6,strong/deep,perceptible emotionally,severe,sensitive/tender-hearted,emotionally conscious of something,touchy,NA,NA,NA,NA,NA,NA,NA,NA,1392,1485,1502,1631,1748,1759,NA,NA,NA,NA,NA,NA,NA,NA
61,sore,aj,6,expressing/betokening bitterness,sorrowful/afflicted with grief,strong (of feelings),angry,indignant/resentful,touchy,NA,NA,NA,NA,NA,NA,NA,NA,1200,1205,1449,1694,1694,1694,NA,NA,NA,NA,NA,NA,NA,NA
62,spirit,n,6,principle/power of an emotion,emotional part of man as,spirit,state of feeling/mood,spiritedness/liveliness,cheerful liveliness,NA,NA,NA,NA,NA,NA,NA,NA,1382,1382,1596,1601,1700,1716,NA,NA,NA,NA,NA,NA,NA,NA
63,sprightly,aj,6,specifically of qualities/actions,spirited/lively,cheerful and lively,lively/animated (of things),of sounds,of musical instruments,NA,NA,NA,NA,NA,NA,NA,NA,1592,1594,1594,1598,1611,1613,NA,NA,NA,NA,NA,NA,NA,NA
64,spritely,aj,6,cheering/suggestive of cheerfulness,spirited/lively,cheerful and lively,of sounds,specifically of qualities/actions,of musical instruments,NA,NA,NA,NA,NA,NA,NA,NA,1598,1606,1606,1611,1654,1662,NA,NA,NA,NA,NA,NA,NA,NA
65,state,n,6,demeanour/appearance,splendour/magnificence/pomp,state of feeling/mood,dignity,ceremony/formality,nervous excitement,NA,NA,NA,NA,NA,NA,NA,NA,1300,1330,1450,1557,1599,1781,NA,NA,NA,NA,NA,NA,NA,NA
66,stern,aj,6,merciless,terrible,steadfast in battle,severe,bold in battle,gloomy/depressing,NA,NA,NA,NA,NA,NA,NA,NA,1205,1205,1205,1300,1400,1812,NA,NA,NA,NA,NA,NA,NA,NA
67,stomach,n,6,towards another/others,friendliness,entrails/stomach,state of feeling/mood,haughtiness/disdainfulness,spirit,NA,NA,NA,NA,NA,NA,NA,NA,1476,1476,1482,1489,1513,1532,NA,NA,NA,NA,NA,NA,NA,NA
68,transport,n,6,state of feeling/mood,passion,rapture/ecstasy,fit of emotion,a state of intense excitement,fit of violent emotion,NA,NA,NA,NA,NA,NA,NA,NA,1658,1658,1658,1663,1663,1686,NA,NA,NA,NA,NA,NA,NA,NA
69,ugly,aj,6,horrifying,severe,terrible,causing,angry,ill-natured,NA,NA,NA,NA,NA,NA,NA,NA,1250,1300,1300,1645,1687,1687,NA,NA,NA,NA,NA,NA,NA,NA
70,wail,vi,6,lament/express grief,by wailing,wail,feel sorrow/grief,say wailingly,shed tears (of the eyes),NA,NA,NA,NA,NA,NA,NA,NA,1330,1330,1330,1374,1400,1593,NA,NA,NA,NA,NA,NA,NA,NA
71,weary,aj,6,weary of person/thing,wearisome/tedious,anxious to be rid of someone,of persons,causing mental pain/suffering,annoying/vexatious,NA,NA,NA,NA,NA,NA,NA,NA,1205,1465,1472,1603,1785,1785,NA,NA,NA,NA,NA,NA,NA,NA
72,weary,vi,6,be/become dejected,be/become wearied/bored,suffer weariness from waiting/wait wearily,suffer sorrow for loss,be/become wearisome/tedious,specifically of a thing/person,NA,NA,NA,NA,NA,NA,NA,NA,1434,1798,1809,1809,1815,1829,NA,NA,NA,NA,NA,NA,NA,NA
73,affection,n,5,emotion,an emotion,affection,hatred,pretension to superiority,NA,NA,NA,NA,NA,NA,NA,NA,NA,1225,1225,1382,1485,1553,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,affectionate,aj,5,beloved/dear,subject to passion/strong emotion,affectionate,of words/letters/utterances,zealously enthusiastic,NA,NA,NA,NA,NA,NA,NA,NA,NA,1494,1534,1576,1576,1598,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,affectuous,aj,5,zealously enthusiastic,favourably disposed to/having liking for,of words/letters/utterances,pertaining to the emotions,affecting the emotions,NA,NA,NA,NA,NA,NA,NA,NA,NA,1399,1460,1575,1674,1674,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,amiable,aj,5,friendly,pleasant,(of words/conduct) friendly,inviting/deserving love,and worthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,1350,1382,1386,1535,1749,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,amorous,aj,5,(of persons) inclined to love,in love,of/pertaining to sexual love,inviting/deserving love,loving,NA,NA,NA,NA,NA,NA,NA,NA,NA,1303,1314,1385,1400,1677,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,amour,n,5,affection,one who loves/a lover,friendship,love-affair,illicit intimacy/love-affair,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300,1300,1300,1567,1626,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,audacity,n,5,bravery/boldness,daring,rashness,impudence,one who is daring,NA,NA,NA,NA,NA,NA,NA,NA,NA,1432,1432,1531,1545,1658,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,awe,n,5,furious anger,awe,terror,quality of being awesome,inspired by the sublime in nature,NA,NA,NA,NA,NA,NA,NA,NA,NA,1206,1250,1300,1400,1756,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,awful,aj,5,terrible,awe-inspiring,terrified,timid,imposing,NA,NA,NA,NA,NA,NA,NA,NA,NA,1230,1300,1590,1590,1660,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,bitter,aj,5,of speech/speaker,sour/bitter,expressing/betokening bitterness,bitter (of grief/affliction),unpleasant,NA,NA,NA,NA,NA,NA,NA,NA,NA,1175,1225,1230,1485,1810,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,bravery,n,5,blustering/bravado,ostentation,bravery/boldness,cause/matter of pride,more ostentatious display,NA,NA,NA,NA,NA,NA,NA,NA,NA,1548,1570,1581,1626,1628,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,ceremony,n,5,a ceremony/formality,an empty ceremony,splendour/magnificence/pomp,regarded as symbolic,ceremony/formality,NA,NA,NA,NA,NA,NA,NA,NA,NA,1380,1533,1599,1631,1759,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,cheer,vt,5,console/relieve,strengthen morally,make cheerful,as food/drink,cheer,NA,NA,NA,NA,NA,NA,NA,NA,NA,1424,1430,1440,1443,1798,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,cherish,vt,5,treat with tenderness/hold dear,make cheerful,hold/entertain/cherish (a feeling),pet/indulge/pamper,caress,NA,NA,NA,NA,NA,NA,NA,NA,NA,1320,1325,1385,1450,1550,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,chill,aj,5,cold/lacking warm feeling,cold-blooded,cold (of anger),grown cold,causing coldness,NA,NA,NA,NA,NA,NA,NA,NA,NA,1400,1400,1400,1633,1750,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,choleric,aj,5,having choler as dominant humour,irascible (of person),characterized by anger,of speech: angry,angry,NA,NA,NA,NA,NA,NA,NA,NA,NA,1340,1556,1567,1567,1590,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,cold,aj,5,gloomy/depressing,self-possessed/self-controlled,hostile,rendered emotionally powerless,cold-blooded,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300,1500,1557,1705,1849,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,comfort,n,5,consolation/relief,joy/gladness/delight,state of being consoled/relieved,act/means/source of consolation/relief,cause/matter of consolation/relief,NA,NA,NA,NA,NA,NA,NA,NA,NA,1225,1230,1340,1386,1553,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,complaint,n,5,action of complaining,lamentation/expression of grief,a complaint,instance/act of lamenting,cause/ground of complaint,NA,NA,NA,NA,NA,NA,NA,NA,NA,1374,1384,1385,1593,1745,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,crouse,aj,5,angry,ill-natured,self-assertive,daring,cheerful and lively,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300,1300,1300,1300,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,discomfort,n,5,sorrow/grief,dismay,(a) cause of mental pain/suffering,instance/action of intimidating/bullying,state of being upset/perturbed,NA,NA,NA,NA,NA,NA,NA,NA,NA,1350,1375,1386,1405,1779,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,dread,n,5,terror,one who/that which inspires fear,religious awe,object or cause inspiring awe,rastafarian dread,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,1400,1508,1590,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,ease,n,5,freedom from trouble/care/sorrow,act/means/source of consolation/relief,consolation/relief,freedom from awkwardness in style/behaviour,emotional detachment,NA,NA,NA,NA,NA,NA,NA,NA,NA,1225,1440,1542,1750,1808,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,easy,aj,5,satisfactory,indifferent,(of behaviour) unconstrained/free/easy,free from trouble/care/sorrow,sociable,NA,NA,NA,NA,NA,NA,NA,NA,NA,1485,1649,1680,1692,1714,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,ecstasy,n,5,fit of violent emotion,stupefaction,rapture/ecstasy,of poets and prophets,sudden outburst/access of passion,NA,NA,NA,NA,NA,NA,NA,NA,NA,1382,1382,1526,1670,1695,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,embrace,vt,5,embrace,affect with emotion,bear with/tolerate,accept (a person) as a friend,kiss on the cheek,NA,NA,NA,NA,NA,NA,NA,NA,NA,1386,1430,1591,1607,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,endear,vt,5,win the affection of,make indebted by kindness,endear,love,treat/behave affectionately,NA,NA,NA,NA,NA,NA,NA,NA,NA,1580,1607,1611,1622,1683,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,familiarity,n,5,relaxation from constraint/ceremony,friendship,instance of familiar behaviour,circle of intimate friends,intimacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,1380,1450,1537,1556,1645,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,fancy,vt,5,take a liking to,please/give pleasure to,attach by fancy/liking to,have liking for,be conceited about,NA,NA,NA,NA,NA,NA,NA,NA,NA,1545,1566,1590,1598,1886,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,fearfully,av,5,in a frightening manner,in a timid manner,in an apprehensive manner,in an uneasy manner,cautiously/hesitantly,NA,NA,NA,NA,NA,NA,NA,NA,NA,1526,1548,1586,1586,1598,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,feeler,n,5,one who feels emotion,one who knows by own feelings,one who/that which stirs the emotions,one having emotional perception,sufferer,NA,NA,NA,NA,NA,NA,NA,NA,NA,1611,1611,1611,1779,1814,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,feeling,aj,5,intense,sensitive/tender-hearted,inclined to,indicating emotion,full of/affected by emotion,NA,NA,NA,NA,NA,NA,NA,NA,NA,1530,1583,1583,1585,1754,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,feelingly,av,5,with emotional perception,in manner producing effect on emotions,based on personal experience,emotionally/with emotion,sensitively,NA,NA,NA,NA,NA,NA,NA,NA,NA,1381,1413,1450,1585,1706,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,fierce,aj,5,haughty/disdainful,high-spirited,violent (of emotions),furiously angry,zealously enthusiastic,NA,NA,NA,NA,NA,NA,NA,NA,NA,1290,1297,1300,1300,1377,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,flirt,n,5,a jest/joke,male flirt,female flirt,flirt,person to flirt with,NA,NA,NA,NA,NA,NA,NA,NA,NA,1549,1732,1748,1779,1779,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,flushing,n,5,rising of emotion,sudden outburst/access of passion,arising from success,exciting,encouragement,NA,NA,NA,NA,NA,NA,NA,NA,NA,1679,1679,1679,1775,1775,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,gallantry,n,5,an heroic/gallant deed,gallantry,heroic feat,amorous intercourse/intrigue,love-affair,NA,NA,NA,NA,NA,NA,NA,NA,NA,1625,1647,1652,1678,1706,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,grief,n,5,suffering,displeasure,sorrow/grief,remorse,(a) cause of mental pain/suffering,NA,NA,NA,NA,NA,NA,NA,NA,NA,1225,1300,1350,1350,1535,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,homophobia,n,5,hatred of men,men,fear of people/a person,specifically of homosexuals,homosexuals,NA,NA,NA,NA,NA,NA,NA,NA,NA,1920,1920,1960,1969,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,horror,n,5,emotion compounded of fear and loathing,quality of being horrible,shudder/shuddering,horror,awe,NA,NA,NA,NA,NA,NA,NA,NA,NA,1375,1375,1375,1375,1579,NA,NA,NA,NA,NA,NA,NA,NA,NA
